size,density,noise_level,start,goal,bellman_ford_path,bellman_ford_cost
10,0.2,0.5,1,5,"[1, 5]",229.0
10,0.2,0.5,1,6,"[1, 9, 6]",766.0
10,0.2,0.5,1,7,"[1, 0, 7]",453.0
10,0.2,0.5,1,8,"[1, 0, 7, 8]",269.0
10,0.2,0.5,1,9,"[1, 9]",242.0
10,0.2,0.5,2,3,"[2, 9, 7, 8, 3]",2263.0
10,0.2,0.5,2,4,"[2, 9, 7, 4]",1415.0
10,0.2,0.5,2,5,"[2, 9, 7, 5]",2061.0
10,0.2,0.5,2,6,"[2, 9, 6]",974.0
10,0.2,0.5,2,7,"[2, 9, 7]",1227.0
10,0.2,0.5,2,8,"[2, 9, 7, 8]",1043.0
10,0.2,0.5,2,9,"[2, 9]",450.0
10,0.2,0.5,3,4,"[3, 4]",922.0
10,0.2,0.5,3,5,"[3, 4, 0, 7, 5]",2506.0
10,0.2,0.5,3,6,"[3, 2, 9, 6]",1954.0
10,0.2,0.5,3,7,"[3, 4, 0, 7]",1672.0
10,0.2,0.5,3,8,"[3, 4, 0, 7, 8]",1488.0
10,0.2,0.5,3,9,"[3, 2, 9]",1430.0
10,0.2,0.5,4,5,"[4, 0, 7, 5]",1584.0
10,0.2,0.5,4,6,"[4, 0, 7, 8, 6]",1280.0
10,0.2,0.5,4,7,"[4, 0, 7]",750.0
10,0.2,0.5,4,8,"[4, 0, 7, 8]",566.0
10,0.2,0.5,4,9,"[4, 0, 7, 2, 9]",1972.0
10,0.2,0.5,5,6,"[5, 4, 0, 7, 8, 6]",1373.0
10,0.2,0.5,5,7,"[5, 4, 0, 7]",843.0
10,0.2,0.5,5,8,"[5, 4, 0, 7, 8]",659.0
10,0.2,0.5,5,9,"[5, 4, 0, 7, 2, 9]",2065.0
10,0.2,0.5,6,7,"[6, 7]",590.0
10,0.2,0.5,6,8,"[6, 7, 8]",406.0
10,0.2,0.5,6,9,"[6, 7, 2, 9]",1812.0
10,0.2,0.5,7,8,"[7, 8]",-184.0
10,0.2,0.5,7,9,"[7, 2, 9]",1222.0
10,0.2,0.5,8,9,"[8, 6, 7, 2, 9]",2526.0
10,0.2,0.8,0,1,,inf
10,0.2,0.8,0,2,"[0, 7, 2]",403.0
10,0.2,0.8,0,3,"[0, 7, 8, 3]",751.0
10,0.2,0.8,0,4,"[0, 7, 4]",-268.0
10,0.2,0.8,0,5,"[0, 7, 5]",575.0
10,0.2,0.8,0,6,"[0, 7, 8, 6]",-68.0
10,0.2,0.8,0,7,"[0, 7]",-337.0
10,0.2,0.8,0,8,"[0, 7, 8]",-751.0
10,0.2,0.8,0,9,"[0, 7, 2, 9]",637.0
10,0.2,0.8,1,2,"[1, 9, 2]",844.0
10,0.2,0.8,1,3,"[1, 5, 4, 3]",1011.0
10,0.2,0.8,1,4,"[1, 5, 4]",-130.0
10,0.2,0.8,1,5,"[1, 5]",42.0
10,0.2,0.8,1,6,"[1, 0, 7, 8, 6]",596.0
10,0.2,0.8,1,7,"[1, 0, 7]",327.0
10,0.2,0.8,1,8,"[1, 0, 7, 8]",-87.0
10,0.2,0.8,1,9,"[1, 9]",344.0
10,0.2,0.8,2,3,"[2, 9, 7, 8, 3]",2231.0
10,0.2,0.8,2,4,"[2, 9, 7, 4]",1212.0
10,0.2,0.8,2,5,"[2, 9, 7, 5]",2055.0
10,0.2,0.8,2,6,"[2, 9, 6]",913.0
10,0.2,0.8,2,7,"[2, 9, 7]",1143.0
10,0.2,0.8,2,8,"[2, 9, 7, 8]",729.0
10,0.2,0.8,2,9,"[2, 9]",234.0
10,0.2,0.8,3,4,"[3, 4]",1045.0
10,0.2,0.8,3,5,"[3, 4, 0, 7, 5]",2535.0
10,0.2,0.8,3,6,"[3, 4, 0, 7, 8, 6]",1892.0
10,0.2,0.8,3,7,"[3, 4, 0, 7]",1623.0
10,0.2,0.8,3,8,"[3, 4, 0, 7, 8]",1209.0
